Date,Open,High,Low,Close,Volume,Adj Close
2000-01-03,148.25,148.25,143.875,145.4375,8164300,105.36693799999999
2000-01-04,143.531204,144.0625,139.640594,139.75,8089800,101.246443
2000-01-05,139.9375,141.531204,137.25,140.0,12177900,101.427563
2000-01-06,139.625,141.5,137.75,137.75,6227200,99.797478
2000-01-07,140.3125,145.75,140.0625,145.75,8066500,105.59333799999999
2000-01-10,146.25,146.906204,145.031204,146.25,5741700,105.95558
2000-01-11,145.8125,146.093704,143.5,144.5,7503700,104.687735
2000-01-12,144.593704,144.593704,142.875,143.0625,6907700,103.646291
2000-01-13,144.468704,145.75,143.281204,145.0,5158300,105.049976
2000-01-14,146.531204,147.468704,145.968704,146.968704,7437300,106.47626799999999
2000-01-18,145.343704,146.625,145.1875,145.8125,6488500,105.63861899999999
2000-01-19,145.3125,147.0,145.0,147.0,6157900,106.498942
2000-01-20,146.968704,146.968704,143.8125,144.75,5800100,104.86885600000001
2000-01-21,145.5,145.5,144.0625,144.4375,6244800,104.642455
2000-01-24,145.656204,145.843704,139.406204,140.343704,7896900,101.676571
2000-01-25,140.515594,141.9375,139.0,141.9375,9942500,102.831248
2000-01-26,141.0,141.546799,140.093704,140.8125,5158100,102.01620600000001
2000-01-27,141.843704,142.218704,138.125,140.25,10922700,101.608684
2000-01-28,139.4375,140.0625,135.531204,135.875,11916200,98.439073
2000-01-31,135.8125,139.671799,135.0,139.5625,10768700,101.110602
2000-02-01,139.75,141.6875,138.531204,140.9375,8419900,102.10676600000001
2000-02-02,141.281204,142.25,140.375,141.0625,6205900,102.197326
2000-02-03,140.875,143.25,140.0,143.1875,7997500,103.736852
2000-02-04,143.1875,144.0,142.125,142.593704,4925400,103.306657
2000-02-07,142.5625,142.781204,141.4375,142.375,5845800,103.14820999999999
2000-02-08,143.968704,144.5625,143.625,144.3125,4936400,104.551895
2000-02-09,144.468704,144.468704,141.265594,141.281204,8511500,102.355774
2000-02-10,141.625,142.5625,140.875,141.5625,6690600,102.559567
2000-02-11,141.843704,141.9375,138.031204,138.6875,9849800,100.47668
2000-02-14,139.781204,139.781204,138.3125,139.5,8528800,101.065322
2000-02-15,139.25,141.218704,137.796799,141.078094,11078300,102.208624
2000-02-16,140.375,140.9375,138.796799,139.0,8845400,100.70308100000001
2000-02-17,140.4375,140.4375,138.218704,138.281204,7584200,100.182326
2000-02-18,138.875,138.875,134.625,135.3125,9409200,98.03155100000001
2000-02-22,135.1875,136.343704,133.531204,134.968704,16415400,97.782477
2000-02-23,135.625,137.468704,134.5,136.5625,12119000,98.937155
2000-02-24,136.6875,137.031204,133.093704,133.8125,17375000,96.944827
2000-02-25,135.1875,136.718704,133.125,133.328094,10559900,96.593884
2000-02-28,133.375,136.6875,132.718704,136.125,13397800,98.620193
2000-02-29,136.0625,137.4375,135.75,137.4375,8242500,99.571077
2000-03-01,137.625,139.0,137.218704,138.4375,6868000,100.295559
2000-03-02,138.6875,139.125,137.343704,138.531204,7600200,100.363446
2000-03-03,140.4375,141.718704,139.718704,141.125,12770300,102.24260600000001
2000-03-06,140.8125,141.343704,138.75,139.75,11967100,101.246443
2000-03-07,140.0,140.156204,135.218704,137.046799,20062000,99.28801999999999
2000-03-08,136.468704,137.843704,135.031204,136.875,11808500,99.163555
2000-03-09,137.25,140.875,136.125,140.875,5500900,102.061486
2000-03-10,140.1875,142.0,139.531204,140.125,7924600,101.518124
2000-03-13,136.6875,140.468704,135.6875,138.593704,10540500,100.408727
2000-03-14,139.281204,140.093704,136.156204,136.625,8263900,98.982435
2000-03-15,136.875,140.4375,136.0625,139.8125,10300800,101.291723
2000-03-16,141.625,146.843704,140.875,146.343704,25601400,106.023467
2000-03-17,145.8125,148.0,145.4375,146.9375,10272900,106.724218
2000-03-20,146.875,147.343704,144.781204,146.1875,12502300,106.179476
2000-03-21,145.531204,149.75,144.5,149.1875,13612600,108.358447
2000-03-22,149.5625,150.843704,148.6875,150.093704,8260000,109.016645
2000-03-23,149.156204,153.468704,149.156204,152.656204,11654500,110.87785
2000-03-24,152.875,155.75,151.718704,153.5625,11462900,111.53611399999998
2000-03-27,153.375,153.781204,151.8125,151.9375,8798600,110.35583799999999
2000-03-28,151.25,152.984299,150.593704,151.0625,6334400,109.72030500000001
2000-03-29,151.5625,152.484299,149.656204,151.218704,6747500,109.83375900000001
2000-03-30,150.156204,151.921799,147.125,148.6875,9491900,107.99528500000001
2000-03-31,149.625,152.3125,148.4375,150.375,9249100,109.22095700000001
2000-04-03,150.125,151.25,148.6875,151.25,8508200,109.85649
2000-04-04,151.75,153.0,141.390594,150.125,19585500,109.039376
2000-04-05,147.875,150.8125,147.625,149.1875,8387200,108.358447
2000-04-06,150.25,151.6875,149.0,150.484299,6378500,109.300343
2000-04-07,151.5625,152.125,150.5,151.4375,6023600,109.992676
