Date,Price,Regime,Signal
2002-01-11,86.03217407862286,1.0,Buy
2002-02-08,81.8056655184087,-1.0,Sell
2002-03-14,86.0437767354992,1.0,Buy
2002-05-03,80.85905215262511,-1.0,Sell
2003-01-15,69.5671454994107,1.0,Buy
2003-02-11,63.81023778053398,-1.0,Sell
2003-04-21,67.00011018882502,1.0,Buy
2004-07-27,84.80668358647513,-1.0,Sell
2004-09-24,86.81506550864317,1.0,Buy
2005-05-02,90.46056630832872,-1.0,Sell
2005-06-03,93.91728610231259,1.0,Buy
2006-06-15,99.67909826425243,-1.0,Sell
2006-08-23,103.64194263836299,1.0,Buy
2007-11-26,118.22951984791882,-1.0,Sell
2009-05-08,76.28981740655745,1.0,Buy
2010-06-08,93.7708397972575,-1.0,Sell
2010-10-04,99.84992321089128,1.0,Buy
2010-12-31,110.40766161401463,1.0,Sell
