,Price,Regime,Signal
2002-02-08,81.62783,1.0,Buy
2002-02-08,81.62783,-1.0,Sell
2002-05-13,80.210894,1.0,Buy
2002-05-13,80.210894,-1.0,Sell
2002-06-03,77.608335,1.0,Buy
2002-06-03,77.608335,-1.0,Sell
2002-06-07,76.842434,1.0,Buy
2002-06-07,76.842434,-1.0,Sell
2002-06-17,77.422437,1.0,Buy
2002-06-17,77.422437,-1.0,Sell
2002-06-21,74.08185,1.0,Buy
2002-06-21,74.08185,-1.0,Sell
2002-06-26,72.917794,1.0,Buy
2002-06-26,72.917794,-1.0,Sell
2002-07-02,70.865768,1.0,Buy
2002-07-02,70.865768,-1.0,Sell
2002-07-10,68.739125,1.0,Buy
2002-07-10,68.739125,-1.0,Sell
2002-08-28,68.724198,1.0,Buy
2002-08-28,68.724198,-1.0,Sell
2002-09-03,65.87374799999999,1.0,Buy
2002-09-03,65.87374799999999,-1.0,Sell
2002-09-12,66.74679,1.0,Buy
2002-09-12,66.74679,-1.0,Sell
2002-10-31,66.348938,1.0,Buy
2002-10-31,66.348938,-1.0,Sell
2002-11-14,68.005418,1.0,Buy
2002-11-14,68.005418,-1.0,Sell
2002-11-18,67.818034,1.0,Buy
2002-11-18,67.818034,-1.0,Sell
2003-02-26,62.697983,1.0,Buy
2003-02-26,62.697983,-1.0,Sell
2003-03-03,63.338219,1.0,Buy
2003-03-03,63.338219,-1.0,Sell
2003-03-07,62.758242,1.0,Buy
2003-03-07,62.758242,-1.0,Sell
2003-03-12,61.055965,1.0,Buy
2003-03-12,61.055965,-1.0,Sell
2003-03-17,65.36438100000001,1.0,Buy
2003-03-17,65.36438100000001,-1.0,Sell
2003-03-18,65.748524,1.0,Buy
2003-03-18,65.748524,-1.0,Sell
2003-03-31,64.085171,1.0,Buy
2003-03-31,64.085171,-1.0,Sell
2003-04-09,65.816999,1.0,Buy
2003-04-09,65.816999,-1.0,Sell
2004-07-30,85.456484,1.0,Buy
2004-07-30,85.456484,-1.0,Sell
2004-08-02,85.633814,1.0,Buy
2004-08-02,85.633814,-1.0,Sell
2004-08-05,83.575273,1.0,Buy
2004-08-05,83.575273,-1.0,Sell
2004-08-10,83.55985,1.0,Buy
2004-08-10,83.55985,-1.0,Sell
2004-08-18,84.83198399999998,1.0,Buy
2004-08-18,84.83198399999998,-1.0,Sell
2004-08-19,84.585268,1.0,Buy
2004-08-19,84.585268,-1.0,Sell
2004-08-23,84.96305100000002,1.0,Buy
2004-08-23,84.96305100000002,-1.0,Sell
2004-09-02,86.79800999999998,1.0,Buy
2004-09-02,86.79800999999998,-1.0,Sell
2004-09-21,87.453506,1.0,Buy
2004-09-21,87.453506,-1.0,Sell
2004-09-22,86.361889,1.0,Buy
2004-09-22,86.361889,-1.0,Sell
2005-05-20,93.297849,1.0,Buy
2005-05-20,93.297849,-1.0,Sell
2005-05-25,93.524986,1.0,Buy
2005-05-25,93.524986,-1.0,Sell
2005-05-31,93.579811,1.0,Buy
2005-05-31,93.579811,-1.0,Sell
2006-07-05,101.732362,1.0,Buy
2006-07-05,101.732362,-1.0,Sell
2006-07-28,102.460912,1.0,Buy
2006-07-28,102.460912,-1.0,Sell
2006-08-04,102.637039,1.0,Buy
2006-08-04,102.637039,-1.0,Sell
2008-12-18,74.69596999999997,1.0,Buy
2008-12-18,74.69596999999997,-1.0,Sell
2009-01-05,78.304642,1.0,Buy
2009-01-05,78.304642,-1.0,Sell
2009-03-30,66.922803,1.0,Buy
2009-03-30,66.922803,-1.0,Sell
2010-06-10,94.570001,1.0,Buy
2010-06-10,94.570001,-1.0,Sell
2010-06-23,95.089578,1.0,Buy
2010-06-23,95.089578,-1.0,Sell
2010-07-19,93.400719,1.0,Buy
2010-07-19,93.400719,-1.0,Sell
2010-07-23,96.116821,1.0,Buy
2010-07-23,96.116821,-1.0,Sell
2010-07-26,97.117942,1.0,Buy
2010-07-26,97.117942,-1.0,Sell
2010-07-27,97.109241,1.0,Buy
2010-07-27,97.109241,-1.0,Sell
2010-07-28,96.482448,1.0,Buy
2010-07-28,96.482448,-1.0,Sell
2010-08-03,97.692504,1.0,Buy
2010-08-03,97.692504,-1.0,Sell
2010-08-04,98.345412,1.0,Buy
2010-08-04,98.345412,-1.0,Sell
2010-08-09,98.36282,1.0,Buy
2010-08-09,98.36282,-1.0,Sell
2010-09-01,94.419255,1.0,Buy
2010-09-01,94.419255,-1.0,Sell
2010-09-02,95.298507,1.0,Buy
2010-09-02,95.298507,-1.0,Sell
2010-09-07,95.446498,1.0,Buy
2010-09-07,95.446498,-1.0,Sell
2010-09-08,96.116821,1.0,Buy
2010-09-08,96.116821,-1.0,Sell
2010-09-09,96.560794,1.0,Buy
2010-09-09,96.560794,-1.0,Sell
2010-09-14,98.066838,1.0,Buy
2010-09-14,98.066838,-1.0,Sell
2010-09-16,98.415058,1.0,Buy
2010-09-16,98.415058,-1.0,Sell
2010-09-22,99.265754,1.0,Buy
2010-09-22,99.265754,-1.0,Sell
2010-09-23,98.460567,1.0,Buy
2010-09-23,98.460567,-1.0,Sell
